,id,job_title,company_name,job_location,requirements,salary,indeed_url,job_description,date_posted,company_url,,,
0,29b56b2ad42143b4,Entry Level - Software Developer,Smoothstack,United States,,"$55,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-PZ76-Buf7EcnCv0gKKLndR0YEV2kTxuAD_VKH6HEbZFGsVNkpiitjOp_daSiXpE3Pd_X3qe-bekUwRlgzVovAcCBt0z5yUU5xFBeE38vP8NN1cwM2zQW5_7-qCme8EqijBD20AWqh1zPAFA-kqRCexPYk1YT_VuplpqMxmYcqVUq1gKOE6br0xn6e7ZVA5lIp13OJX579Y23vNlztA6H6hjcAE84u7VOwEjhZAMcfpG7sySB8OUzwIHuvfgHlkUnmo4fnJppOqsPttqPYAzIxjL0j4r3Ft9nFbmS80PgMcOxULu3vbA5f7vEjO92CUBf-RkIeHWM7Ef397ACRUqPsDRycW6qBpcZaKD36rlPaeAfUyp8aVnGPwpyHgTJAZushmROC4pUFLUOgGD9KH3TRsSmstXjYj4Ag==&p=0&fvj=1&vjs=3,"Net, Python or similar programming languages..Bachelor’s degree or minor in any of the following: Computer Science, Engineering, Statistics, Mathematics or…",30+ days ago,https://www.indeed.com,,,
1,c4ed3a337bf5813c,.NET Software Developer - US Remote,Vision Media,United States,.net: 4 years,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJ_NiDUn25TsccfMtQS5fdjkwEhZVGunI1iGscaADDmblPPsgmlKlNuTdWZpS6xDFNBRe-d0clMKZqjmBUgynTxGk4vUdI8xIwXdtECzZMsd1Up1w8BGX7v6O9uamiPIvXfuiVBdfXTlkngGrH7zCsQHGPgsJNj1Hu1czw2-Ahs6fof4xrAv5GqT-HKXBxyLJi6S58vz-CvQu7dHpK3nBgaWwh8Q-xcDfBd7RJs3OpIfb5wb_qghlmFxsM_4DIdKRC_o7N9YGfiKuGq2k-TW92UvAY15I1npuPBPEuFp-Ayd8-AaWZPiI19HAQhK29UYe50LG4dO8dWjktM5b3nxnx2mWJUIxolQzL57gawDo49rLOW2LHjV9rFOJaH6gm2VXroKjZFWByY-sP9F9mpjcWxq_ZXPsZqW9I9x_moxbss4iM_dRGJmlSv8EkquIgIWmvQdBbJMF2ZSth1-gZaYgj&p=1&fvj=1&vjs=3,"The ideal candidate will be a developer proficient in .NET..With a rich tradition in the entertainment industry, we specialize in physical and digital media,…",5 days ago,https://www.indeed.com/cmp/Vision-Media,,,
2,38ed0955fe4934ce,Full Stack/Back End Developer,"PavCon, LLC",United States,JavaScript: 3 years,"$77,345 - $166,454 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AcvyScSzxGX9e7tF2yOlgVOj93Rn6ts4Nhq9obcZl5__6xF54nqZyXQl0oo5T0znX4HLJMnN4SIEoKGTHn406D5EBQ55Nbh4vNGh3H961xeaGYxQPtGSead95wTJjpWyBlnG4EdMRCcK7D7ThAtRLm5I7igz-kNElR4p6MShUR2_lsMQuDPppD6yrZ96hB504tDPPMYr2J5QDuUdmsG-Sn5KnHP3c43-vYFCSoVs4-xNy1pE354L_ASdVTxuJL4_K4_zBxBZjaAvuRUS4kH7VaQk9Hzu2hnqq0zCxEWeolhzcRX1B4TFsGBf049EdPy1jP_uhIizGgseuxKOZHucAobz5AMkHg8wY7_cmgkwHRWQdTfqJowtBudFRigaPwz-UNV_EHj7WQ1-BDNwEY40BYnTkQIfgc1FsBbshvHeqFu3axf3yScu8lvwOZVvnXdQH49MXnp-g-QDys6MwM16Ol&p=2&fvj=1&vjs=3,"Bachelor's degree in Computer Science, similar technical field of study or equivalent practical experience..We use git for version control and a mix of SQL and…",Today,"https://www.indeed.com/cmp/Pavcon,-LLC",,,
3,e8ea3581740ad770,Senior Software Engineer [Remote],"240 Tutoring, Inc.",United States,Full-Stack: 7 years,$50 - $90 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C19l7jkAdaok4Xmia-FyRmB5IY-3YGOMCPkxn_a3xP-OYqL9cfgcMwISQULS_EjfHCGN8HvczAVjJDNotZEJ7uyOD1sZVhW5KjyaCU1HUtBvIo2c2o-5stKjkjaZ5n2-tnTwn7eONWSPKgCCfyR0_wuIR6sKtw7cOwPlQ59fVtqHFWllZHjDrayLhVIlgp4mzwvNrpU1rU7b29AzqmUm7oJlTnFS10VIGjYvgpJX9pyVxZOta7OqdxYaaZGTf6Qcjic9r7ZBpM2K2sVK6n6QS5wa_tPT9qssVWLMalBtYPWYspOzscHVUQK0XnM1T14PzwWeXNdcsNnPQn6869H4PdJgtubF6USp5w-ZmqpOoDhqemk2Va9LfI4Tn5CzUASwlKdo6uzuxEzayaL6kYAJoTdSQDbuwzyhRPfYwOeeB7G4oN-WbbiY6XZ6uwwbBjIpJNo4_lY89iZQwyZq2ho2f_&p=3&fvj=1&vjs=3,240 Tutoring is constantly striving to “be better”..Someone who knows how to ship quality code on time..Can speak intelligently about past projects and the…,6 days ago,"https://www.indeed.com/cmp/240-Tutoring,-Inc.",,,
4,f988cdf34e6e7eb6,Java/AWS Cloud API Services Developer 3+ Years Experience,CapabilitySource,United States,Consulting: 1 year,$70 - $90 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D12SdW_L3_dl3RJ-8v0B3oqwFMTCz8a4oUEgzjrj84CdYHRWuGebBbve1IF1nEV5r7e4SCzQYkwslZLkzzs2dBGPggCOqafmbHJDsyR_mcf-XBht5ptF-j04Ou8A9I5-kw7j--L3INDCXxnneK4K7zAfxR2FHwEFiJKhfXgGT2GbscS-o7SomEg62Qjek7wNvwcptVvObURr9zsMwGQAjhT1oaxrnIm5G4_oMBQni1FvkuqE3o2Pq8PtS9FBHJxC_oQv07MyiUWaFWwZ2OCrejNvJcd0sQFIqLP3JqcPZGrK_T6n4ZFmzVxG0aoOm-VU6sHtT2Du2qopQ0fGbdI399aVxSdBSCf4VQwR-0Xem97sfLPqsz8wkN-Js0QyDi02N0KXFsqdlbKxSbd60bdK_OLW2DYvJzPzmxnprOlIeG-oABg6tMF_6GcoAO_hB6nswGfCtLgIX-AN66NoMdTzWTQN3htmMC7wmGl0pdFHnyEPcNJv9-q0NB&p=4&fvj=1&vjs=3,"The custom services integrate, extend and enhance popular MarTech cloud technologies to meet the unique (bespoke) needs of enterprise marketing teams.",8 days ago,https://www.indeed.com,,,
5,048b1ea698f604f4,Senior Software Engineer,"Reinventing Geospatial, Inc.",United States,C++: 3 years,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AVKW1135Wy9M1uStkJmOBt07F7iWFAhnVVmiJxfaZmkabLBN_sKVLpzLsKvXaT1M8Bct2R7qSpVCq8gujlA2wZ60fubS_1FpFnfBD3LbWB4UsRuy0M9Q1aDhszaXkzY8oHmbmbmj4k8fGuAdIaCDKUp9nevckeO2J-iScyLiQkUdlxhw_Sm1y-8OB4DM7cTYLEgr8_T0QvR28EVd4Yx-NmIEHS3DyznrkzL5CjieSVmSoSxK2N28OGKQdcb_l3vKD1NbNkzk_qgS7A4e53p6EHZvDyQ_KuKJHfv6ijujb6RWxp8f2Il7UwYLOBEJGDKlT0NTTpWx62lFeGzfzPVPVPIJ4aqb6Pv6D7qmy9b-tyb71T-AwqBXcBA5kLfYhMzRoTCQQ7pomZ1WufmmYi-M3Ba1O25pzrtO885OKMUs4XYMmrAfzXkdxvLdRFYL36O2KCx8FDk_rgQQ==&p=5&fvj=1&vjs=3,"Development of customized code, scripts, modules, macro procedures, and libraries to implement specialized spatial analysis functions using languages such as…",14 days ago,https://www.indeed.com/cmp/Rgi-Corp.,,,
6,e6e93f7bc2c5c33a,Manager Software Development,Pearson,,,,https://www.indeed.com/rc/clk?jk=e6e93f7bc2c5c33a&fccid=915b1c0ee87e5e8a&vjs=3,"+ Ensures that teams have appropriate product and technical specifications, direction, and resources to deliver products effectively by establishing realistic…",Today,https://www.indeed.com/cmp/Pearson,,,
7,767db25d2d2079f4,Applications Engineer,DXP Enterprises,,,,https://www.indeed.com/company/DXP-Enterprises/jobs/Application-Engineer-767db25d2d2079f4?fccid=4996c0fc40443f8e&vjs=3,"Must have customer service oriented mentality..Work closely with sales, fabrication & vendors to facilitate the sales effort & meet customer requirements.",30+ days ago,https://www.indeed.com/cmp/Dxp-Enterprises,,,
8,6687fc73448655ba,Wordpress Developer,selfdecode.com,,,,https://www.indeed.com/rc/clk?jk=6687fc73448655ba&fccid=41765cf8195baf38&vjs=3,Pay will be in accordance with abilities and experience..Must work a minimum of 4 hours within PST time zone between 9AM to 8PM PST.,30+ days ago,https://www.indeed.com,,,
9,a1ad5a77afc0f3de,"Software Engineer, III",GCI,,,,https://www.indeed.com/rc/clk?jk=a1ad5a77afc0f3de&fccid=1c03c064636a1e9f&vjs=3,"Configuration management, Agile processes, Continuous Integration, Continuous Delivery and build procedures, including source control and build tools such as…",30+ days ago,https://www.indeed.com/cmp/Gci,,,
